mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
sad,Unsteady,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I,0.178,0.389,0.665,0.000732,0,0.116,-6.169,1,0.0644,117.055,4,0.199
sad,Happier Than Ever,Billie Eilish,4RVwu0g32PAqgUiJoXsdF8,0.767,0.332,0.225,0.00349,0,0.128,-8.697,1,0.0348,81.055,3,0.297
sad,lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,0.296,0,4,0.095,-10.109,0,0.0333,115.284,4,0.12
stressful,Chlorine,Twenty One Pilots,23OXdR7YuUBVWh5hSnYJau,0.0735,0.609,0.674,0.06,10,0.345,-7.388,0,0.0548,90.009,4,0.315
stressful,Jumpsuit,Twenty One Pilots,1E1uGhNdBe6Dddbgs2KqtZ,0.00849,0.62,0.61,0.162,11,0.205,-8.329,0,0.0373,127.052,4,0.235
stressful,Pet Cheetah,Twenty One Pilots,7daBwTiPNOVgoMUG4SICgh,0.0615,0.653,0.684,0.000387,7,0.27,-7.052,0,0.199,110.049,4,0.355
stressful,Doubt,Twenty One Pilots,57yL3161hUMuw06zzzUCHi,0.121,0.719,0.645,0.00316,2,0.362,-6.141,0,0.0358,123.02,4,0.69
stressful,Start a Riot,Various Artists,6V81K1OcvYgHEnCA6A2Qx9,0.0128,0.728,0.727,0,2,0.0882,-3.585,1,0.206,143.144,4,0.89
stressful,Hello Kitty,Jazmin Bean,5GCwCzJkdefEhYU6mLyRu1,0.0894,0.452,0.796,0,9,0.0319,-5.111,0,0.0608,104.786,4,0.107
stressful,I'm Yer Dad,GRLwood,0GxbglYySl18aZDIaGu1RU,0.0106,0.551,0.953,0.474,0,0.118,-4.695,1,0.17,128.462,4,0.176
stressful,"Dance, Dance",Fall Out Boy,0a7BloCiNzLDD9qSQHh5m7,0.00523,0.622,0.961,0,11,0.0854,-3.198,0,0.154,114.452,4,0.449
stressful,CEASE AND DESIST,Alice Glass,3cIttzoAjoc44h6noteqJh,3.90E-05,0.384,0.97,0.409,1,0.369,-0.862,1,0.23,180.189,4,0.444
stressful,Tick Tock,Joji,5E7p95xh9Ul4vZp4LEoJwi,0.0399,0.781,0.613,0.00713,4,0.0976,-5.582,0,0.0524,80.53,4,0.613
stressful,Alastor's Game,The Living Tombstone,5gqGKzCDdxPHnRSkGoxD66,0.00637,0.405,0.897,1.79E-06,2,0.266,-4.533,1,0.264,200.083,4,0.744
